"EML_ID";"CLI_ID";"EML_ADRESSE";"EML_LOCALISATION"
1;1;"alain.dupont@wanadoo.fr";"domicile"
2;2;"mmartin@transports_martin_fils.fr";"bureau"
3;5;"pdreyfus@club-internet.fr";"domicile"
4;7;"rantanplan@aol.com";"domicile"
5;9;"martine.boyer@cabinet.boyer.fr";"Bureau"
6;9;"mboyer@club-internet.fr";"Domicile"
7;12;"aduval@club-internet.fr";"Domicile"
8;2;"plongeur@aol.com";""
9;19;"agerim@pacwan.azur.fr";""
10;21;"SOFALIS@wanadoo.fr";""
11;27;"cozet@infonie.fr";""
12;28;"agerim@pacwan.azur.fr";""
13;30;"dreyfus@planetb.fr";""
14;32;"jpfparis@club-internet.fr";""
15;35;"Alain.Gardeur@wanadoo.fr";""
16;37;"maison-immobilier@icare.fr";""
17;41;"stonesandsun@mnet.fr";""
18;44;"Terrains31@aol.com";""
19;45;"property@cybercom.fr";""
20;48;"ydern@club-internet.fr";""
21;52;"prodom@allia-com.fr";""
22;53;"poquet@alpes-net.fr";""
23;55;"athos2@msn.com";""
24;57;"stif@meteor.avo.net";""
25;59;"euro-prospect@calva.net";""
26;61;"acces.immobilier@wanadoo.fr";""
27;63;"webmaster@immo-mb.fr";""
28;64;"dreyfus@planetb.fr/";""
29;65;"joussely@club-internet.fr";""
30;67;"marcimmo@ebc.net";""
31;69;"cmi@virtualaccess.net";""
32;73;"dgtb@martien.com";""
33;75;"elfio@dugudu.fr";""
34;78;"dpr@magousta.com";""
35;79;"alain.forqueville@calva.com";""
36;82;"adji@nolan.fr";""
37;89;"herbert@wise.fr";""
38;95;"djin@telecom.fr";""
39;99;"amoebius@club-internet.fr";""
